(-3.3477e-06,3.54516e-06)
(5.7198e-06,6.3198e-06)
(1.76626e-05,0.000148808)
(0.000140354,2.10383e-05)
(1.67385e-06,-1.77258e-06)
(-2.8599e-06,-3.1599e-06)
(-4.74728e-06,5.0273e-06)
(2.53937e-06,3.70056e-06)
(5.27738e-05,-1.84269e-05)
(-2.59052e-05,-8.12202e-05)
(2.06371e-06,-3.55235e-08)
(-1.99167e-08,-2.11966e-06)
(-3.93694e-06,4.53495e-06)
(6.38951e-06,6.85578e-06)
(2.73464e-05,0.000169455)
(0.000151656,2.50036e-05)
(1.96847e-06,-2.26747e-06)
(-3.19476e-06,-3.42789e-06)
(-5.53003e-06,6.37003e-06)
(2.86556e-06,4.32613e-06)
(6.57897e-05,-2.72587e-05)
(-3.2431e-05,-8.82031e-05)
(2.80049e-06,-2.56853e-07)
(-1.92226e-07,-2.43552e-06)
(-5.76629e-06,9.69664e-06)
(9.54407e-06,9.34418e-06)
(9.30212e-05,0.000233861)
(0.000199056,3.07585e-05)
(2.88314e-06,-4.84832e-06)
(-4.77203e-06,-4.67209e-06)
(-7.88806e-06,1.32646e-05)
(4.33526e-06,7.59657e-06)
(0.000125405,-8.32916e-05)
(-6.16139e-05,-0.000124683)
(7.23462e-06,-2.50011e-06)
(-1.21192e-06,-4.23119e-06)
(-1.02943e-07,5.16634e-08)
(1.69645e-06,3.38172e-06)
(3.41654e-07,-1.71464e-07)
(-1.44222e-06,-2.87848e-06)
(-3.97677e-09,-1.16987e-05)
(-0.000113664,-1.41501e-07)
(-1.62767e-07,8.16871e-08)
(2.68232e-06,5.34696e-06)
(2.41586e-07,-1.21243e-07)
(-1.0198e-06,-2.03539e-06)
(4.85353e-07,1.60016e-07)
(7.73073e-06,-2.3447e-05)
(7.77502e-09,9.8947e-09)
(5.63808e-07,-4.43026e-07)
(1.18887e-06,3.91956e-07)
(1.89363e-05,-5.74331e-05)
(-1.96751e-08,7.80621e-09)
(1.30043e-06,3.27772e-06)
(6.60597e-08,-2.62096e-08)
(-1.05241e-06,-2.65273e-06)
(-3.00695e-11,-2.31412e-06)
(-0.000104196,-5.70796e-09)
(-3.1109e-08,1.23427e-08)
(2.05616e-06,5.18253e-06)
(4.67113e-08,-1.8533e-08)
(-7.44164e-07,-1.87576e-06)
(7.47257e-08,4.30155e-08)
(1.15257e-05,-2.00221e-05)
(6.22455e-10,1.70666e-09)
(6.08865e-07,-2.22066e-07)
(1.8304e-07,1.05366e-07)
(2.8232e-05,-4.9044e-05)
(-1.50183e-07,7.53717e-08)
(1.97292e-06,3.93326e-06)
(3.0662e-09,9.02002e-06)
(6.79667e-05,1.15788e-07)
(7.50916e-08,-3.76859e-08)
(-9.86458e-07,-1.96663e-06)
(-2.33968e-07,1.17421e-07)
(6.61541e-07,1.32142e-06)
(1.33956e-06,4.41639e-07)
(1.42698e-05,-4.32783e-05)
(1.72813e-08,2.19926e-08)
(6.59657e-07,-5.1834e-07)
(-2.85272e-08,1.13183e-08)
(1.48288e-06,3.7376e-06)
(2.31939e-11,1.78498e-06)
(6.09344e-05,4.65535e-09)
(1.42636e-08,-5.65917e-09)
(-7.4144e-07,-1.8688e-06)
(-4.52513e-08,1.79537e-08)
(4.66455e-07,1.17581e-06)
(2.07206e-07,1.19277e-07)
(2.08626e-05,-3.62419e-05)
(1.38992e-09,3.8109e-09)
(6.90156e-07,-2.51715e-07)
(-3.50427e-06,5.24812e-06)
(6.36405e-06,6.1267e-06)
(1.06864e-05,-1.60044e-05)
